lgcode_iso3,Name,Family,Genus,Macroarea,title,author,year,pages_sum,inlg_iso3,hhtype
kpv,Yazva,Uralic,Permic,Eurasia,Sovremennyj komi jazyk: učebnik dlja vysšix učebnyx zavedenij,"Lytkin, Vasilij I. ","1955, 1967 ",597,rus,grammar
yux,Yukaghir (Kolyma),Yukaghir,Yukaghir,Eurasia,A grammar of Kolyma Yukaghir,"Maslova, Elena ",1999,726,eng,grammar
kjq,Acoma,Keresan,Keresan,North America,A Study For A Lexicon of Laguna Keresan,"Valiquette, Hilaire Paul ",1990,807,eng,grammar
ale,Aleut,Eskimo-Aleut,Aleut,North America,Aleut Grammar: Unangam Tunuganann Achixaasix̂,Knut Bergsland,1997,373,eng,grammar
aes,Alsea,Oregon Coast,Alsea,North America,Alsea Grammar,"Frachtenberg, Leo Joachim ",1918,431,eng,grammar
ari,Arikara,Caddoan,Northern Caddoan,North America,An introduction to the Arikara language,"Parks, Douglas and Janet Beltran and Ella Waters ",1979,422,eng,grammar
aqp,Atakapa,Atakapa,Atakapa,North America,Atakapa: a grammatical sketch,Jonel Macris Mueller,1981,82,eng,grammar_sketch
cay,Cayuga,Iroquoian,Northern Iroquoian,North America,Watewayéstanih: a Cayuga teaching grammar,"Mithun, Marianne and Henry, Reginald ",1982,615,eng,grammar
cso,Chinantec (Sochiapan),Oto-Manguean,Chinantecan,North America,A grammar of Sochiapan Chinantec,"Foris, David ",1994,607,eng,grammar
ctm,Chitimacha,Chitimacha,Chitimacha,North America,Modern Chitimacha (Sitimaxa),"Granberry, Julian ",2004,113,eng,grammar_sketch
boi,Chumash (Barbareño),Chumash,Chumash,North America,Adverbial Clauses in Barbareño Chumash Narrative Discourse,"Wash, Suzanne Maria ",2001,591,eng,grammar_sketch
xcw,Coahuilteco,Coahuiltecan,Coahuiltecan,North America,A descriptive phonology and morphology of Coahuilteco,Rudolph C. Troike,1959,146,eng,grammar_sketch
col,Columbia-Wenatchi,Salishan,Interior Salish,North America,A Grammatical Sketch of Nxa'amxcin (Moses-Columbia Salish),"Willett, Marie Louise ",2003,476,eng,grammar
csw,Cree (Swampy),Algic,Algonquian,North America,Spoken Cree: West Coast of James Bay,"Ellis, C. Douglas ",1983,713,eng,grammar
esq,Esselen,Esselen,Esselen,North America,The Huelen (Esselen) Language,David L. Shaul,1995,49,eng,grammar_sketch
hdn,Haida (Northern),Haida,Haida,North America,The importance of pragmatic factors in Haida Syntax,"Edwards, Elizabeth A. ",1982,172,eng,grammar_sketch
