lgcode_iso3,Name,Family,Genus,Macroarea,title,author,year,pages_sum,inlg_iso3,hhtype
fun,Fulniô,Fulniô,Fulniô,South America,Fulniô (Yahthe) Syntax Structure,Douglas Meland and Doris Meland,1968,86,eng,grammar_sketch
guh,Guahibo,Guahiban,Guahiban,South America,Grammaire sikuani,"Queixalós, Francisco ",1995,918,fra,grammar
gvc,Guanano,Tucanoan,Tucanoan,South America,A Reference Grammar of Kotiria (Wanano),Kristine Stenzel,2013,536,eng,grammar
hub,Huambisa,Jivaroan,Jivaroan,South America,A grammar of Wampis,"Peña, Jaime G. ",2015,971,eng,grammar
huu,Huitoto (Murui),Witotoan,Witoto,South America,A Grammar of Murui (Bue): A Witotoan language of Northwest Amazonia,"Wojtylak, Katarzyna I. ",2017,637,eng,grammar
jup,Hup,Nadahup,Nadahup,South America,A Grammar of Hup,Patience Epps,2005,1134,eng,grammar
iqu,Iquito,Zaparoan,Zaparoan,South America,Time in the Iquito Language,I-Wen Lai,2009,629,eng,grammar
ito,Itonama,Itonama,Itonama,South America,Itonama,"Camp, Elizabeth L. and Liccardi, Millicent R. ",1967,96,eng,grammar_sketch
jeb,Jebero,Cahuapanan,Cahuapanan,South America,"Eighteenth Century Xebero: Mss. Add. 25,323 and 25,324 of The British Library, London (UK) ",Astrid Alexander-Bakkerus,2016,188,eng,grammar_sketch
kvn,Kuna,Chibchan,Kuna,South America,Paya Kuna: An introductory grammar,"Forster, D. Keith ",2011,331,eng,grammar
xwa,Kwaza,Kwaza,Kwaza,South America,A Grammar of Kwaza,Hein van der Voort,2004,1064,eng,grammar
enx,Lengua,Mascoian,Mascoian,South America,A Grammar of Enxet Sur,John A. Elliott,2021,818,eng,grammar
arn,Mapudungun,Araucanian,Araucanian,South America,A Mapuche Grammar,Ineke Smeets,1989,637,eng,grammar
omc,Mochica,Mochica,Mochica,South America,Mochica,Even Hovdhaugen,2004,83,eng,grammar_sketch
cas,Mosetén,Mosetenan,Mosetenan,South America,A Grammar of Mosetén,Jeanette Sakel,2004,535,eng,grammar
mzp,Movima,Movima,Movima,South America,A Grammar of Movima,Katharina Haude,2006,614,eng,grammar
nab,Nambikuára (Southern),Nambikuaran,Nambikuaran,South America,A Descriptive Grammar of Nambikuara,Menno Kroeker,2001,87,eng,grammar
pbb,Páez,Páezan,Páezan,South America,"Une approche à la sociolinguistique, la phonologie et la morphosyntaxe du nasa yuwe, langue amérindienne du sud-ouest de la Colombie ","Diaz Montenegro, Esteban ",2014,189,fra,grammar_sketch
pid,Piaroa,Sáliban,Maco-Piaroa,South America,Piaroa nominal morphosemantics,"Krute, Laurence Dana ",1989,330,eng,grammar
myp,Pirahã,Mura,Mura,South America,Pirahã,Daniel L. Everett,1986,126,eng,grammar
puq,Puquina,Puquina,Puquina,South America,Langue Puquina,Raoul de la Grasserie,1894,69,fra,grammar_sketch
alc,Qawasqar,Alacalufan,Alacalufan,South America,Linguistique fuegiènne: La Qawasqar,Christos Clairis,1982,643,fra,grammar
qvi,Quechua (Imbabura),Quechuan,Quechuan,South America,Ecuadorian Quechua Basic Course,"Ott, Clarence E ",1971,1061,eng,grammar
tae,Tariana,Arawakan,Japura-Colombia,South America,"A grammar of Tariana, from northwest Amazonia ",Alexandra Aikhenvald,2003,729,eng,grammar
teh,Tehuelche,Chonan,Chonan Proper,South America,"Le Tehuelche: description d'une langue en train de disparaître, I-II ","Fernández Garay, Ana V. ",1993,488,fra,grammar
tca,Ticuna,Ticuna,Ticuna,South America,"Aspects of Tikuna grammar (San Martín de Amacayacu variety, Colombia): Phonology, nominal phrase, predicative phrase ",Denis Bertet,2020,668,eng,grammar
tri,Tiriyo,Cariban,Cariban,South America,A Grammar of Tiriyó,Sérgio Meira,1999,726,eng,grammar
tob,Toba,Guaicuruan,Qom,South America,Toba,Harriet E. Manelis Klein,2001,558,eng,grammar
tpy,Trumai,Trumai,Trumai,South America,A Reference Grammar of Trumai,Raquel Guirardello,1999,475,eng,grammar
cof,Tsafiki,Barbacoan,Barbacoan,South America,Complex Predicates in Tsafiki,Connie Dickinson,2002,451,eng,grammar
ura,Urarina,Urarina,Urarina,South America,A Grammar of Urarina,Knut Olawsky,2006,961,eng,grammar
ure,Uru,Uru-Chipaya,Uru-Chipaya,South America,Uchumataqu: The lost language of the Urus of Bolivia. A grammatical description of the language as documented between 1894 and 1952,Katja Hannß,2008,330,eng,grammar
auc,Waorani,Waorani,Waorani,South America,Preliminary grammar of Auca (Ecuador),"Peeke, M. Catherine ",1968,252,eng,grammar_sketch
wba,Warao,Warao,Warao,South America,A Reference Grammar of Warao,"Romero-Figeroa, Andrés ",1997,141,eng,grammar
pav,Wari',Chapacura-Wanham,Chapacura-Wanham,South America,Wari': the Pacaas Novos language of Western Brazil,Daniel L. Everett and Barbara Kern,1997,530,eng,grammar
xav,Xavánte,Macro-Ge,Je Central,South America,"Morphosyntaxe du xavante, langue jê du Mato Grosso (Brésil) ","Machado Estevam, Adriana ",2011,508,fra,grammar
yad,Yagua,Peba-Yaguan,Peba-Yaguan,South America,Aspects of the Grammar of Yagua: A Typological Perspective (Peru),"Payne, Doris Lander ",1985,441,eng,grammar
yag,Yahgan,Yámana,Yámana,South America,Grammaire de la Langue Jâgane,Lucien Adam,1885,60,fra,grammar_sketch
wca,Yanomámi,Yanomam,Yanomam,South America,Yanomama Clause Structure,"Perri Ferreira, Helder ",2017,779,eng,grammar
yuz,Yuracare,Yuracare,Yuracare,South America,A Grammar of Yurakaré,Erik van Gijn,2006,372,eng,grammar
